question,completion,correct_answers,completion_gradient,rephrased_completions,rephrased_gradients
What does a manometer measure?,"A manometer is a device that measures the pressure of a fluid flowing through a pipe. It is typically used to measure the pressure drop across a pipe or valve, or to determine the flow rate of a fluid. The manometer consists of a U-tube or a series of U-tubes connected to a vertical column of liquid, such as water or mercury. As the fluid flows through the pipe, the pressure of","['Manometric unit', 'Absolute Pressure', 'Pressures', 'Feet sea water', 'Explosion pressure', 'Mm H2O', 'Fluids and pressure', 'Negative pressure (disambiguation)', 'Cm H2O', 'Pressure', 'Liquid pressure', 'Fluid pressure', 'Deflagration pressure', 'Pressure units', 'Kinematic pressure', 'CmHg', 'Relative pressure', 'Negative pressure', 'Scientific physical pressure', 'Water pressure', 'Units of pressure', 'Manometric pressure unit', 'Pressure (physics)', 'Unit of pressure', 'Gauge Pressure']",8.109375,"['A manometer is an instrument used to gauge the pressure of a fluid moving through a pipe. It is commonly employed to assess the pressure drop across either a pipe or a valve, or to calculate the fluid’s flow rate. The device comprises one or several U-tubes that are attached to a vertical column filled with a liquid like water or mercury. As the fluid passes through the pipe, the pressure of', 'A manometer is an apparatus designed for measuring the pressure of a fluid in motion through a pipe. Typically, it is utilized to evaluate pressure loss across a valve or pipe section or to estimate the fluid’s flow rate. This device features a U-shaped tube (or a collection of U-tubes) connected to a vertical liquid column—often water or mercury. When the fluid flows through the pipe, its pressure', 'The manometer is a tool for measuring the pressure of a fluid as it flows through a pipe. It is usually used to determine the pressure decrease that occurs over a pipe or valve, or to compute the flow rate of the fluid. It consists of either a single U-tube or several U-tubes that are linked to a vertical column containing a liquid such as water or mercury. As the fluid travels along the pipe, its pressure']","[13.0, 12.0078125, 12.1640625]"
In which part of New York city is Brooklyn situated?,"Brooklyn is situated in the western part of Long Island, New York City. It is located on the eastern side of the island, opposite Manhattan, and is connected to Manhattan by several bridges and tunnels. Brooklyn is the most populous borough in New York City, with a diverse population and a rich cultural heritage.","['2014 Long Island floods', 'L I', 'Long Island counties', 'Lawng Island', 'L.I', 'LONG ISLAND', 'Wrong island', 'Suffolk Island', 'Long Island Island', '2014 New York flood', 'Paumanok', 'Long Island, N.Y.', 'Eastern Long Island, New York', 'Long Island (N.Y.)', 'Long Island Counties', 'New York flood', 'Longisland, NY', 'Nassau-Suffolk, NY', 'Eastern Long Island', 'Long Island, NY', 'Mid-Island, New York', 'Long Island (New York)', 'Strong Island', 'Long island', 'Nassau-Suffolk', '2014 Long Island flood', 'Queens Island', 'Long Island flood', 'Long island counties', 'Long Island, New York', 'Long Island', 'Nassau Island', 'Nassau–Suffolk', 'Long Island, New York (State)', 'Long Island (NY)', 'Long Island, New York State', 'Towns on Long Island', 'Longe Isleland']",8.7265625,"[""Located in the western section of Long Island, Brooklyn is a borough of New York City positioned on the island's east side, facing Manhattan and linked to it by numerous bridges and tunnels. It is the city's most densely populated borough, celebrated for its diverse community and deep cultural history."", ""Brooklyn, part of New York City, is found in the western part of Long Island but lies on the island's eastern edge, directly across from Manhattan and connected to it through several bridges and tunnels. It boasts the largest population among New York City's boroughs, with a multicultural populace and a wealth of cultural traditions."", 'Situated on the western segment of Long Island, Brooklyn is a New York City borough that occupies the eastern shore of the island, directly opposite Manhattan, and is connected to it via multiple bridges and tunnels. It stands as the most populated borough of the city, known for its diverse residents and rich cultural legacy.']","[12.96875, 12.3125, 12.90625]"
David Lloyd George was British Prime Minister during the reign of which monarch?,"David Lloyd George was Prime Minister of the United Kingdom from 1916 to 1922, during the reign of King George V.","['George V of Great Britain and Ireland', 'George V of Great Britain', 'Cultural depictions of George V of the United Kingdom', 'George V of Scotland', 'King George V of the United Kingdom', 'King George V of Great Britain', 'George Frederick Ernest Albert', 'George V of the United Kingdom', 'George V', 'George the Fifth', 'George v of the united kingdom', 'King George V', 'George V of the UK', 'George 5', 'George V, Emperor', 'King George the Fifth', 'George V of Britain', 'George V, King of Great Britain', 'King George V of England', ""King George V's Silver Jubilee"", 'George V of England', 'Duke of Cornwall and York', 'George V, Emperor of India', 'Coronation of King George V']",12.9765625,"[""From 1916 to 1922, during King George V's reign, David Lloyd George served as the United Kingdom's Prime Minister."", 'Serving as Prime Minister from 1916 to 1922, David Lloyd George led the United Kingdom while King George V was on the throne.', 'During the reign of King George V, David Lloyd George held the position of Prime Minister of the United Kingdom between 1916 and 1922.']","[16.734375, 12.015625, 11.2109375]"
In which constellation is the star 'Betelguese'?,"Betelgeuse, also known as Alpha Orionis, is a red supergiant star located in the constellation Orion. It is one of the brightest stars in the night sky and can be seen from most of the world. Betelgeuse is about 640 light-years away and is estimated to be between 100 and 1","['Orion (music)', 'Orion (song)', 'Orion Class Spaceship', 'Orions (disambiguation)', 'Orion-class spaceship', 'Orion (system)', 'ORION', 'Orions', 'Orion', 'Orion (disambiguation)']",8.609375,"[""Betelgeuse, which is also referred to as Alpha Orionis, is a massive red supergiant situated in Orion. It ranks among the night sky's brightest stars, visible from virtually everywhere on Earth. The star lies roughly 640 light-years from us and is estimated to be between 100 and 1."", 'Also called Alpha Orionis, Betelgeuse is a red supergiant star found within the constellation of Orion. As one of the most luminous stars in the nighttime heavens, it can be spotted from most parts of the world. Located approximately 640 light-years away, its value is estimated to fall between 100 and 1.', 'Known as Alpha Orionis, Betelgeuse is a red supergiant residing in the constellation Orion. It stands as one of the brightest stars visible at night and is observable from nearly all inhabited regions of the globe. The star is positioned about 640 light-years away and has an estimated range between 100 and 1.']","[10.015625, 12.4765625, 10.2734375]"
"The 1997 transfer of Hong Kong from Great Britain to China is well-known. But in 1999, which country similarly relinquished its claim on Macau also handing it over to China?","The 1999 transfer of sovereignty over Macau to China is less well-known than the 1997 handover of Hong Kong, but it is a significant event in the history of the region. On","['Portogało', 'Republic of Portugal', 'PORTUGAL', 'Portekiz', 'Portugallu', 'O Papagaio', 'ISO 3166-1:PT', 'Portunga', 'Phu-to-ga', 'Potigal', 'Portûnga', 'Portugul', 'An Phortaingéil', 'Portugāle', 'Portugale', 'Portingale', 'Potiti', 'Portugali', 'Portugall', 'Portekîz', 'Bo Dao Nha', 'Portuguese Republic', 'Portogallo', 'Portugaul', 'Portogalo', 'Portyngal', 'Yn Phortiugal', 'Portugalio', 'Portugál', 'Portugual', 'Portuga', 'Portgual', 'Portugalsko', 'Portugaleje', 'Phû-tô-gâ', 'Portugalujo', 'Portugalija', 'Pertual', 'Pòtigal', 'Portugal', 'Bồ Đào Nha', 'Portugalska', 'República Portuguesa', 'Portiwgal', 'Portugalėjė', 'Portúgal', 'Portegal', 'An Phortaingeil', 'Republica Portuguesa']",10.0,"[""Even though the 1999 transfer of Macau’s sovereignty to China is not as widely recognized as Hong Kong’s 1997 handover, it remains a pivotal event in the region's history."", ""While the handover of Hong Kong in 1997 is more famous, the 1999 transfer of sovereignty over Macau to China stands out as an important milestone in the area's historical narrative."", 'The 1999 transition of Macau’s sovereignty to China may not be as celebrated as Hong Kong’s 1997 takeover, yet it marks a crucial moment in the history of the region.']","[11.65625, 31.359375, 12.3984375]"
The Fitzwilliam Museum is in which English city?,"The Fitzwilliam Museum is located in Cambridge, England.","['Cambridge, United Kingdom', 'Cambridge, UK', 'Cantabrigiae', 'The weather in Cambridge', ""Christ's Piece"", 'Caergrawnt', 'Cambridge, East Anglia', 'England Cambridge', 'UN/LOCODE:GBCMG', 'Cambridge, Cambridgeshire', 'Cambridge (England)', 'Cambridge', 'Park Street Church of England Primary School', 'Cambridge, England', 'Grantabridge']",28.09375,"['The Fitzwilliam Museum is situated in Cambridge, England.', 'In Cambridge, England, you will find the Fitzwilliam Museum.', 'Located in the historic city of Cambridge, England, the Fitzwilliam Museum is a notable landmark.']","[29.0, 25.59375, 27.6875]"
Which French painter lived and worked in Tahiti?,"Edgar Degas

Paul Gauguin

Claude Monet

Henri Rousseau

Answer: Paul Gauguin.

Paul Gauguin (1848-1903) was a French post-impressionist painter who spent time living and working in Tahiti from 1891 to 1893. During","['Paul Gaugin', 'Eugčne Henri Paul Gauguin', 'Paul Gauguin', 'Eugcne Henri Paul Gauguin', 'Eugène Henri Paul Gauguin', 'Gauguin', 'Eugene Henri Paul Gauguin', 'Gaugin']",23.96875,"['The text lists four artists—Edgar Degas, Paul Gauguin, Claude Monet, and Henri Rousseau—with the answer being Paul Gauguin. It notes that Paul Gauguin (1848-1903) was a French post-impressionist painter who lived and worked in Tahiti between 1891 and 1893. During', 'Presented are the names Edgar Degas, Paul Gauguin, Claude Monet, and Henri Rousseau, with Paul Gauguin identified as the answer. Paul Gauguin (1848-1903), a French post-impressionist, spent the years 1891 to 1893 in Tahiti, where he both resided and painted. During', 'The provided text names several artists – Edgar Degas, Paul Gauguin, Claude Monet, and Henri Rousseau – and states that the correct answer is Paul Gauguin. Paul Gauguin (1848-1903) was a French post-impressionist painter who, from 1891 to 1893, lived and worked in Tahiti. During']","[8.109375, 9.671875, 8.0625]"
Which European nation was the colonial power of Indonesia for 350 years until officially ceding control in December 1949?,Answer: The European nation that was the colonial power of Indonesia for 350 years until officially ceding control in December 1949 is the Netherlands.,"['NETHERLANDS', 'The netherland', 'Nederlandia', 'Climate of the Netherlands', 'Administrative divisions of the netherlands', 'The Netheralands', 'Nyderlandai', 'Northern Netherlands', 'Holland (country)', 'Administrative divisions of the Netherlands', 'The Netherlands', 'Netherlands', 'Pays-Bas', 'Netherlands, (Dut/Hol)', 'ISO 3166-1:NL', 'Olanda', 'Netherlands/HistoryTalk', 'Capitals of Holland', 'Neatherlands', 'The netherlands', 'Dutch inhabitants', 'Netherlands, The', 'European Netherlands', 'Subdivisions of the Netherlands', 'Mainland Netherlands', 'Metropolitan Netherlands', 'Nehterlands', 'Netherlands (European territory)']",9.296875,"['The Netherlands is the European country that ruled Indonesia as a colony for 350 years, finally relinquishing control in December 1949.', 'Answer: Indonesia was a colony under Dutch rule for 350 years until the Netherlands formally handed over control in December 1949.', 'The European nation that maintained colonial control over Indonesia for 350 years, until it officially ceded power in December 1949, was the Netherlands.']","[14.671875, 15.6171875, 13.4609375]"
In which modern day country was Gustav Mahler born?,"Gustav Mahler was born in Bohemia, which is now the Czech Republic.","['4esko', 'Ceská republika', 'Czech Republic', 'Tjech republic', 'Republique Tcheque', 'Czech Republik', 'Ceská Republika', 'Czeck Republic', 'ISO 3166-1:CZ', 'The Czech Republic', 'CZR', 'République Tchèque', 'Česko', 'Administrative divisions of the Czech Republic', 'Czecho Republic', 'Winnerland', 'Protestantism in the Czech Republic', 'Tschechien', 'Check Republic', 'Czechia', 'Czech Republci', 'Etymology of the Czech Republic', 'Cesko', 'Česká republika', 'Češka', 'Cech Republic', 'Ceska Republic', 'Czech Rep', 'The Czeck Republic', 'Ceska', 'Ceska republika', 'Chez republic', 'Czec Republic', 'Climate of the Czech Republic', 'Csehorszag', 'Tcheque Republique', 'Republica Checa', 'Česká Republika', 'Cehia', 'Czech Rep.', 'Czech republic', 'Czechi', 'Tcheque Republic', 'Ceska Republika', 'Tjech Republic', 'ČR', 'Csehország', 'República Checa', 'Subdivisions of the Czech Republic', 'Bohemia-Moravia']",13.0,"['Gustav Mahler was born in Bohemia, an area that is now part of the Czech Republic.', 'Bohemia, currently in the Czech Republic, is where Gustav Mahler was born.', 'The birthplace of Gustav Mahler was in Bohemia, a region that has since become the Czech Republic.']","[14.0703125, 29.953125, 26.171875]"
How many stars are on the national flag of New Zealand?,There are 4 stars on the national flag of New Zealand.,"['Four', 'four', '4']",16.59375,"[""New Zealand's national flag features four stars."", 'The national flag of New Zealand displays four stars.', ""On New Zealand's flag, you can see four stars.""]","[28.75, 26.796875, 36.125]"
The 1932 film ‘The Mask of Fu Manchu’ revolves around Fu Manchu’s quest for the sword and mask of which historical figure?,"The 1932 film ‘The Mask of Fu Manchu’ revolves around Fu Manchu’s quest for the sword and mask of Genghis Khan, a historical figure known for his military conquests and empire building in the 13th century.","['Temüjin', 'Genghas Khan', 'Temudjin', 'Ghenghis Khan', 'Ghengis Kahn', 'Genghis khan', 'Jenghiz Khan', 'Chingis-Khan', 'Chaanguys Khan', 'Ginghis Khan', 'Chaangyus Khan', 'Temuchin', 'Chingis khan', 'Genghis', 'شىڭعىس حان', 'Gengys Khan', 'Chengiz Khan', 'Chinggis Qan', 'Chengis khan', 'Chinghiz Khan', 'Genghis khaan', 'Genghis Qan', 'Temuejin Borjigin', 'Chinggis', 'Chingiz-Khan', 'Genghiz Kahn', 'Ghengis Khan', 'Chingiz Khan', 'Temüjin Borjigin', 'Gengiz khan', 'Ghengis', 'Ghengis Khaan', 'Gengis khan', 'Chingiskhan', 'Yuan Taizu', 'Changez khan', 'TieMuZhen', 'Temuelin', 'Djingis Khan', 'Chinggis Khaan', 'Gingis Khan', 'Genghis Khan', 'Chingiz Khaan', 'Jenghis Khan', 'Tie Mu Zhen', 'Yisui', 'Ghenghis Kahn', 'Djengis Khan', 'Cheng Ji Si Han', 'Yisugen', 'Chengjisi Han', 'Ghangis Khan', 'Jengis Khan', 'Chingishan', 'Genghis kahn', '成吉思汗', 'Jinghiz', 'Cambuscan', '鐵木真', 'Gengis Khan', 'Ganghis Khan', 'Jingis', 'Tsingis Khan', 'Djenghis Khan', 'Gengis', 'Chingis Khaan', 'Chinghiz Kan', 'Temudgin', 'Emperor Taizu of Yuan', 'Чингис Хаан', 'Timujin', 'Jinghiz Khan', 'Chingis Haan', 'Genghiz Khan', 'Temujin Borjigin', 'Ghengis kahn', 'Chinghis khan', 'Very Mighty Ruler', 'Činggis qan', 'Temujin', 'Шыңғыс хан', 'Zingis Khan', 'Chingis', 'Temuelen', 'Chinggis Khan', 'Chingis Khan', 'Тэмүүжин', 'Ghenkis khan', 'Gengis Kahn', 'Gangis Khan', 'Temuejin', 'Chenghis khan']",5.9609375,"[""The 1932 movie 'The Mask of Fu Manchu' centers on Fu Manchu's search for Genghis Khan's sword and mask—Genghis Khan being a well-known 13th-century leader celebrated for his conquests and empire-building."", ""In the 1932 film 'The Mask of Fu Manchu', the plot follows Fu Manchu as he embarks on a quest to find the sword and mask of Genghis Khan, a figure famed for his military victories and expansive empire in the 13th century."", ""Set in 1932, 'The Mask of Fu Manchu' tells the story of Fu Manchu’s pursuit of the legendary sword and mask once owned by Genghis Khan, a historical figure renowned for his military campaigns and the creation of a vast empire during the 13th century.""]","[11.1328125, 13.625, 10.015625]"
Alan Minter was World boxing champion at which weight?,Alan Minter was the World Welterweight boxing champion from 1980 to 1987.,"['Middle-weight', 'Middleweight']",18.3125,"['From 1980 to 1987, Alan Minter held the title of World Welterweight boxing champion.', 'Alan Minter reigned as the World Welterweight boxing champion between 1980 and 1987.', 'Between 1980 and 1987, Alan Minter was recognized as the champion in the World Welterweight boxing division.']","[22.203125, 25.640625, 30.109375]"
What is the flavour of the liqueur Triple-Sec?,"Triple-Sec is a sweet, citrus-flavored liqueur that is made with a blend of citrus juices, such as orange, lemon, and lime, and other flavorings. The exact flavor profile of Triple-Sec can vary depending on the brand and recipe, but it is generally described as being sweet, tangy, and slightly bitter","['Orange (album)', 'Orangeishness', 'Orange (film)', 'Orangishness', 'Orangeishly', 'Orangishly', 'Orange', 'Oranfe', 'Orange (disambiguation)']",7.3515625,"['Triple-Sec is a citrus-based liqueur with a sweet flavor obtained from a mix of citrus juices like orange, lemon, and lime combined with various other flavorings. While its precise taste can differ based on the brand and recipe, it is usually characterized as sweet, tangy, and somewhat bitter.', 'This liqueur, known as Triple-Sec, offers a sweet, citrus taste derived from blending different citrus juices—such as those from oranges, lemons, and limes—with additional flavor enhancers. Its overall flavor profile, which can vary among different brands and formulations, is generally described as sweet, tangy, and a little bitter.', 'Made from a combination of citrus juices including orange, lemon, and lime along with other flavorings, Triple-Sec is a sweet, citrus-flavored liqueur. Although its specific taste can vary according to the recipe and brand, it is commonly noted for its sweet, tangy, and slightly bitter qualities.']","[12.984375, 13.828125, 10.3828125]"
